 model_ensemble/variable,hfsithermds_Omon,hfss_Omon,hfy_Omon,rsntds_Omon,hfx_Omon,hfbasin_Omon,hfls_Omon,rlds_Omon
ACCESS1-0_r1i1p1,NP, v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | 
ACCESS1-0_r2i1p1,NP, v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | , v20130726 | v1 latest new | v1 latest new | 
ACCESS1-0_r3i1p1,NP, v20140402 | , v20140402 | , v20140402 | , v20140402 | , v20140402 | , v20140402 | , v20140402 | 
ACCESS1-3_r1i1p1,NP, v20121203 | v20140305 | v2 latest new | , v20120718 | v20121203 | v20140305 | v2 latest new | , v20121203 | v20140305 | v2 latest new | , v20120718 | v20121203 | v20140305 | v2 latest new | , v20121203 | v20140305 | v2 latest new | , v20121203 | v20140305 | v2 latest new | , v20121203 | v20140305 | v2 latest new | 
ACCESS1-3_r2i1p1,NP, v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | , v20121112 | v2 latest new | v2 latest new | 
ACCESS1-3_r3i1p1,NP, v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | , v20121112 | v3 latest new | v3 latest new | 
CCSM4_r1i1p1,NP, v20121128 latest on 2017-05-18 | ,NP, v20121128 latest on 2017-05-18 | ,NP,NP,NP, v20121128 latest on 2017-05-18 | 
CCSM4_r1i2p1,NP, v20130724 | ,NP, v20130724 | ,NP,NP,NP, v20130724 | 
CCSM4_r1i2p2,NP, v20130724 | ,NP, v20130724 | ,NP,NP,NP, v20130724 | 
CCSM4_r2i1p1,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP,NP,NP,NP
CCSM4_r3i1p1,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP,NP,NP,NP
CCSM4_r4i1p1,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP,NP,NP,NP
CCSM4_r5i1p1,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP, v20120409 | v20121128 latest on 2017-05-18 | ,NP,NP,NP,NP
CCSM4_r6i1p1,NP, v20121128 latest on 2017-05-18 | ,NP, v20121128 latest on 2017-05-18 | ,NP,NP,NP, v20121128 latest on 2017-05-18 | 
CESM1-BGC_r1i1p1,NP, v20121129 latest on 2017-05-18 | ,NP, v20121129 latest on 2017-05-18 | ,NP,NP,NP, v20121129 latest on 2017-05-18 | 
CESM1-CAM5_r1i1p1,NP, v20130302 latest on 2017-05-18 | ,NP, v20130302 latest on 2017-05-18 | ,NP,NP,NP, v20130302 latest on 2017-05-18 | 
CESM1-CAM5_r2i1p1,NP, v20130302 latest on 2017-05-18 | ,NP, v20130302 latest on 2017-05-18 | ,NP,NP,NP, v20130302 latest on 2017-05-18 | 
CESM1-CAM5_r3i1p1,NP, v20130302 latest on 2017-05-18 | ,NP, v20130302 latest on 2017-05-18 | ,NP,NP,NP, v20130302 latest on 2017-05-18 | 
CESM1-CAM5-1-FV2_r1i1p1,NP, v20120605 latest on 2017-05-18 | ,NP,NP,NP,NP,NP,NP
CESM1-CAM5-1-FV2_r2i1p1,NP, v20120806 latest on 2017-05-18 | ,NP, v20120806 latest on 2017-05-18 | ,NP,NP,NP, v20120806 latest on 2017-05-18 | 
CESM1-CAM5-1-FV2_r3i1p1,NP, v20120605 latest on 2017-05-18 | ,NP,NP,NP,NP,NP,NP
CESM1-CAM5-1-FV2_r4i1p1,NP, v20120605 latest on 2017-05-18 | ,NP,NP,NP,NP,NP,NP
CESM1-FASTCHEM_r1i1p1,NP, v20121204 latest on 2017-05-18 | ,NP, v20121204 latest on 2017-05-18 | ,NP,NP,NP, v20121204 latest on 2017-05-18 | 
CESM1-FASTCHEM_r2i1p1,NP, v20121204 latest on 2017-05-18 | ,NP, v20121204 latest on 2017-05-18 | ,NP,NP,NP, v20121204 latest on 2017-05-18 | 
CESM1-FASTCHEM_r3i1p1,NP, v20121204 latest on 2017-05-18 | ,NP, v20121204 latest on 2017-05-18 | ,NP,NP,NP, v20121204 latest on 2017-05-18 | 
CESM1-WACCM_r1i1p1,NP, v20120724 latest on 2017-05-18 | v20140825 | ,NP, v20120724 latest on 2017-05-18 | ,NP,NP,NP, v20120724 latest on 2017-05-18 | v20120724 latest on 2017-05-18 | v20140825 | 
CESM1-WACCM_r2i1p1,NP, v20120724 latest on 2017-05-18 | v20140825 | ,NP, v20120724 latest on 2017-05-18 | ,NP,NP,NP, v20120724 latest on 2017-05-18 | v20140825 | 
CESM1-WACCM_r3i1p1,NP, v20120724 latest on 2017-05-18 | v20140825 | ,NP, v20120724 latest on 2017-05-18 | ,NP,NP,NP, v20120724 latest on 2017-05-18 | v20140825 | 
CESM1-WACCM_r4i1p1,NP, v20120905 latest on 2017-05-18 | ,NP, v20120905 latest on 2017-05-18 | ,NP,NP,NP, v20120905 latest on 2017-05-18 | v20120905 latest on 2017-05-18 | 
CESM1-WACCM_r5i1p1,NP, v20140502 | ,NP,NP,NP,NP,NP, v20140502 | 
CESM1-WACCM_r6i1p1,NP, v20140502 | ,NP,NP,NP,NP,NP, v20140502 | 
CESM1-WACCM_r7i1p1,NP, v20140502 | ,NP,NP,NP,NP,NP, v20140502 | 
CMCC-CESM_r1i1p1,NP,NP, v20120906 latest new | v20130416 latest new | , v20120906 | v20130416 latest new | , v20120906 | v20130416 latest new | ,NP,NP,NP
CMCC-CM_r1i1p1,NP,NP, v20120514 latest new | v20120514 latest new | , v20120514 latest on 2017-05-18 | , v20120514 latest on 2017-05-18 | ,NP,NP,NP
CMCC-CMS_r1i1p1,NP,NP, v20120717 latest on 2017-05-18 | , v20120717 latest on 2017-05-18 | , v20120717 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r10i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r1i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r2i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r3i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r4i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | ,NP,NP,NP
CNRM-CM5_r5i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r6i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | ,NP,NP,NP
CNRM-CM5_r7i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r8i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r9i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | , version not defined to update  | v20130101 latest on 2017-05-18 to update  | ,NP,NP,NP
CNRM-CM5-2_r1i1p1,NP,NP, v20130401 latest new | v20130401 latest new | v20130401 latest new | , v20130401 latest on 2017-05-18 | , v20130401 latest on 2017-05-18 | ,NP,NP,NP
CSIRO-Mk3-6-0_r10i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r2i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r3i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r4i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r5i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r6i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r7i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r8i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r9i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CanCM4_r10i1p1, v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r1i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r2i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r3i1p1, v20120207 | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r4i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r5i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r6i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r7i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r8i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanCM4_r9i1p1, v20120207 latest new | v20120612 latest new | v20120612 latest new | ,NP,NP,NP,NP,NP,NP,NP
CanESM2_r1i1p1, v20120410 latest new | v20120410 latest new | , v20120410 latest on 2017-05-18 | v20120410 latest on 2017-05-18 | ,NP, v20120410 latest on 2017-05-18 | v20120410 latest on 2017-05-18 | ,NP,NP, v20120410 latest on 2017-05-18 | v20120410 latest on 2017-05-18 | , v20120410 latest on 2017-05-18 | v20120410 latest on 2017-05-18 | 
