 model_ensemble/variable,hfsithermds_Omon,hfss_Omon,hfy_Omon,rsntds_Omon,hfx_Omon,hfbasin_Omon,hfls_Omon,rlds_Omon
ACCESS1-3_r1i1p1,NP, v20130219 | , v20130219 | , v20130219 | , v20130219 | , v20130219 | , v20130219 | , v20130219 | 
ACCESS1-3_r2i1p1,NP, v20130812 | , v20130812 | , v20130812 | , v20130812 | , v20130812 | , v20130812 | , v20130812 | 
ACCESS1-3_r3i1p1,NP, v20140428 | , v20140428 | , v20140428 | , v20140428 | , v20140428 | , v20140428 | , v20140428 | 
CCSM4_r1i1p1,NP, v20121128 latest new | v20140820 latest new | ,NP, v20121128 latest new | v20140820 latest new | ,NP,NP,NP, v20121128 | v20140820 latest new | 
CCSM4_r4i1p1,NP, v20120618 latest new | v20120618 latest new | v20120618 latest new | ,NP, v20120618 latest new | v20120618 latest new | v20120618 latest new | ,NP,NP,NP, v20120618 latest on 2017-05-18 | 
CCSM4_r6i1p1,NP, v20121128 latest new | ,NP, v20121128 latest new | ,NP,NP,NP, v20121128 latest on 2017-05-18 | 
CESM1-CAM5_r1i1p1,NP,NP,NP,NP,NP,NP,NP, v20140114 | 
CESM1-CAM5_r2i1p1,NP,NP,NP,NP,NP,NP,NP, v20140114 | 
CESM1-CAM5_r3i1p1,NP, v20131111 latest new | ,NP, v20131111 latest new | ,NP,NP,NP, v20131111 latest on 2017-05-18 | 
CESM1-CAM5-1-FV2_r4i1p1,NP, v20120605 latest new | ,NP,NP,NP,NP,NP,NP
CNRM-CM5_r1i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CNRM-CM5_r2i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CNRM-CM5_r3i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CNRM-CM5_r4i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CNRM-CM5_r5i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CNRM-CM5_r8i1p1,NP,NP, v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | , v20130101 latest new | v20130101 latest new | v20130101 latest new | ,NP,NP,NP
CSIRO-Mk3-6-0_r10i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r2i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r3i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r4i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r5i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r6i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r7i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r8i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r9i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP,NP
CanESM2_r1i1p1, v20111027 latest new | v20111027 latest new | , v20111027 latest new | v20111027 latest new | ,NP, v20111027 latest new | v20111027 latest new | ,NP,NP, v20111027 latest new | v20111027 latest new | , v20111027 latest on 2017-05-18 | 
CanESM2_r2i1p1, v20111028 latest new | v20111028 latest new | , v20111028 latest new | v20111028 latest new | ,NP, v20111028 latest new | v20111028 latest new | ,NP,NP, v20111028 latest new | v20111028 latest new | , v20111028 latest on 2017-05-18 | 
CanESM2_r3i1p1, v20111028 latest new | v20111028 latest new | , v20111028 latest new | v20111028 latest new | ,NP, v20111028 latest new | v20111028 latest new | ,NP,NP, v20111028 latest new | v20111028 latest new | , v20111028 latest on 2017-05-18 | 
CanESM2_r4i1p1, v20111028 latest new | v20111028 latest new | , v20111028 latest new | v20111028 latest new | ,NP, v20111028 latest new | v20111028 latest new | ,NP,NP, v20111028 latest new | v20111028 latest new | , v20111028 latest on 2017-05-18 | 
CanESM2_r5i1p1, v20111028 latest new | v20111028 latest new | , v20111028 latest new | v20111028 latest new | ,NP, v20111028 latest new | v20111028 latest new | ,NP,NP, v20111028 latest new | v20111028 latest new | , v20111028 latest on 2017-05-18 | 
GFDL-CM3_r1i1p1,NP, v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | , v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | ,NP, v20110601 latest on 2017-05-18 | , v20110601 latest on 2017-05-18 | 
GFDL-CM3_r3i1p1,NP, v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | , v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | ,NP, v20110601 latest on 2017-05-18 | , v20110601 latest on 2017-05-18 | 
GFDL-CM3_r5i1p1,NP, v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | , v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | ,NP, v20110601 latest new | v20110601 latest new | , v20110601 latest on 2017-05-18 | 
GFDL-ESM2M_r1i1p1,NP, v20130226 latest new | v20130226 latest new | , v20130226 latest on 2017-05-18 | , v20110601 | v20130226 latest new | v20130226 latest new | , v20130226 latest on 2017-05-18 | ,NP, v20130226 latest new | v20130226 latest new | , v20130226 latest on 2017-05-18 | 
GISS-E2-R_r1i1p1,NP,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP,NP,NP
GISS-E2-R_r2i1p1,NP,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP,NP,NP
GISS-E2-R_r3i1p1,NP,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP,NP,NP
GISS-E2-R_r4i1p1,NP,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP,NP,NP
GISS-E2-R_r5i1p1,NP,NP, v20160429 | v20120517 latest new | v20120517 latest new | ,NP, version not defined to update  | v20160429 | v20120517 latest new | v20120517 latest new | ,NP,NP,NP
