 model_ensemble/variable,rsus_Amon,tro3_Amon,rsds_Amon,hfss_Amon,ps_Amon,hfls_Amon,rlds_Amon,rlus_Amon
ACCESS1-3_r1i1p1, v20130219 latest on 2017-07-05 | ,NP, v20130219 latest on 2017-07-05 | , v20130219 latest on 2017-07-05 | , v20130219 latest on 2017-07-05 | , v20130219 latest on 2017-07-05 | , v20130219 latest on 2017-07-05 | , v20130219 latest on 2017-07-05 | 
ACCESS1-3_r2i1p1, v20130812 latest on 2017-07-05 | ,NP, v20130812 latest on 2017-07-05 | , v20130812 latest on 2017-07-05 | , v20130812 latest on 2017-07-05 | , v20130812 latest on 2017-07-05 | , v20130812 latest on 2017-07-05 | , v20130812 latest on 2017-07-05 | 
ACCESS1-3_r3i1p1, v20140428 latest on 2017-07-05 | ,NP, v20140428 latest on 2017-07-05 | , v20140428 latest on 2017-07-05 | , v20140428 latest on 2017-07-05 | , v20140428 latest on 2017-07-05 | , v20140428 latest on 2017-07-05 | , v20140428 latest on 2017-07-05 | 
BNU-ESM_r1i1p1,NP,NP, v20121025 | ,NP, v20121025 | ,NP, v20121025 | , v20121025 | 
CCSM4_r1i1p1, v20120216 | v20120604 latest new | ,NP, v20120216 | v20120604 latest on 2017-07-05 | , v20120216 | v20120604 latest new | , v20120216 | v20120604 latest new | , v20120216 | v20120604 latest new | , v20120216 | v20120604 latest on 2017-07-05 | , v20120604 latest on 2017-07-05 | 
CCSM4_r4i1p1, v20120605 latest new | ,NP, v20120605 latest on 2017-07-05 | , v20120605 latest new | , v20120605 latest on 2017-07-05 | , v20120605 latest new | , v20120605 latest on 2017-07-05 | , v20120605 latest on 2017-07-05 | 
CCSM4_r6i1p1, v20160829 latest new | ,NP, v20121031 | v20160829 latest new | , v20160829 latest new | , v20121031 | v20160829 latest new | , v20160829 latest new | , v20121031 | v20160829 latest new | , v20121031 | v20160829 latest new | 
CESM1-CAM5_r1i1p1,NP,NP, v20140114 | ,NP, v20140114 | ,NP, v20140114 | , v20140114 | 
CESM1-CAM5_r2i1p1,NP,NP, v20140218 | ,NP, v20140218 | ,NP, v20140218 | , v20140218 | 
CESM1-CAM5_r3i1p1,NP,NP, v20131111 | ,NP, v20131111 | ,NP, v20131111 | , v20131111 | 
CNRM-CM5_r1i1p1, v20110822 latest new | , v20110822 latest new | , v20110822 latest on 2017-07-05 | , v20110822 latest new | , v20110822 latest on 2017-07-05 | , v20110822 latest new | , v20110822 latest on 2017-07-05 | , v20110822 latest on 2017-07-05 | 
CNRM-CM5_r2i1p1, v20110901 latest new | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest on 2017-07-05 | 
CNRM-CM5_r3i1p1, v20110901 latest new | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest on 2017-07-05 | 
CNRM-CM5_r4i1p1, v20110901 latest new | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest on 2017-07-05 | 
CNRM-CM5_r5i1p1, v20110901 latest new | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest on 2017-07-05 | 
CNRM-CM5_r8i1p1, v20110901 latest new | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest new | , v20110901 latest on 2017-07-05 | , v20110901 latest on 2017-07-05 | 
CSIRO-Mk3-6-0_r10i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r1i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r2i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r3i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r4i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r5i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r6i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r7i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r8i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CSIRO-Mk3-6-0_r9i1p1, v20110518 | ,NP, v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | , v20110518 | 
CanESM2_r1i1p1, v20130331 latest new | ,NP, v20111027 | v20130331 latest new | , v20130331 latest new | , v20130331 latest on 2017-07-05 | , v20130331 latest new | , v20111027 | v20130331 latest new | , v20111027 | v20130331 latest new | 
CanESM2_r2i1p1, v20130331 latest new | ,NP, v20111027 | v20130331 latest new | , v20130331 latest new | , v20130331 latest on 2017-07-05 | , v20130331 latest new | , v20111027 | v20130331 latest new | , v20111027 | v20130331 latest new | 
CanESM2_r3i1p1, v20130331 latest new | ,NP, v20111027 | v20130331 latest new | , v20130331 latest new | , v20130331 latest on 2017-07-05 | , v20130331 latest new | , v20111027 | v20130331 latest new | , v20111027 | v20130331 latest new | 
CanESM2_r4i1p1, v20130331 latest new | ,NP, v20111027 | v20130331 latest new | , v20130331 latest new | , v20130331 latest on 2017-07-05 | , v20130331 latest new | , v20111027 | v20130331 latest new | , v20111027 | v20130331 latest new | 
CanESM2_r5i1p1, v20130331 latest new | ,NP, v20111027 | v20130331 latest new | , v20130331 latest new | , v20130331 latest on 2017-07-05 | , v20130331 latest new | , v20111027 | v20130331 latest new | , v20111027 | v20130331 latest new | 
FGOALS-g2_r1i1p1,NP,NP, v1 | ,NP, v1 | ,NP, v1 | , v1 | 
GFDL-CM3_r1i1p1, v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | , v20110601 | v20120227 latest new | 
GFDL-CM3_r3i1p1, v20120227 latest new | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest on 2017-07-05 | 
GFDL-CM3_r5i1p1, v20120227 latest new | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest new | , v20120227 latest on 2017-07-05 | , v20120227 latest on 2017-07-05 | 
GFDL-ESM2M_r1i1p1, v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | , v20110601 | v20130214 latest new | 
GISS-E2-H_r1i1p1, v20160426 latest new | ,NP, version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest on 2017-07-05 | 
GISS-E2-H_r2i1p1, v20160426 latest new | ,NP, version not defined to update  | version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , version not defined to update  | v20160426 latest new | 
GISS-E2-H_r3i1p1, v20160426 latest new | ,NP, version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest on 2017-07-05 | version not defined to update  | 
GISS-E2-H_r4i1p1, v20160426 latest new | ,NP, version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest on 2017-07-05 | 
GISS-E2-H_r5i1p1, version not defined to update  | v20160426 latest new | ,NP, version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest new | , version not defined to update  | v20160426 latest new | , v20160426 latest on 2017-07-05 | 
GISS-E2-R_r1i1p1, v20160429 latest new | ,NP, version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20120517 | v20160429 latest new | , v20160429 latest on 2017-07-05 | v20120517 | 
GISS-E2-R_r2i1p1, v20160429 latest new | ,NP, version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest on 2017-07-05 | 
GISS-E2-R_r3i1p1, v20160429 latest new | ,NP, version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20120517 | v20160429 latest new | , v20160429 latest on 2017-07-05 | 
GISS-E2-R_r4i1p1, v20160429 latest new | ,NP, version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , version not defined to update  | v20160429 latest new | 
GISS-E2-R_r5i1p1, v20160429 latest new | ,NP, version not defined to update  | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20120517 | v20160429 latest new | , v20160429 latest new | , version not defined to update  | v20160429 latest new | , v20160429 latest on 2017-07-05 | 
