 model_ensemble/variable,rsus_Amon,tro3_Amon,rsds_Amon,hfss_Amon,ps_Amon,hfls_Amon,rlds_Amon,rlus_Amon
BNU-ESM_r1i1p1,NP,NP,NP,NP,NP, v20121022 | ,NP,NP
CCSM4_r1i1p10, v20120604 latest new | ,NP, v20120604 latest on 2017-07-05 | , v20120604 latest new | , v20120604 latest new | , v20120604 latest on 2017-07-05 | , v20120604 latest new | , v20120604 latest new | 
CCSM4_r1i1p11, v20160829 latest new | ,NP, v20121031 | v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p12, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p13, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p14, v20160829 latest new | ,NP, v20121031 | v20121031 | v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20121031 | v20121031 | v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p15, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p16, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r1i1p17, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r2i1p11, v20120604 latest on 2017-07-05 | ,NP, v20120604 latest on 2017-07-05 | , v20120604 latest new | , v20120604 latest new | , v20120604 latest new | , v20120604 latest new | , v20120604 latest new | 
CCSM4_r3i1p13, v20120529 latest new | ,NP, v20120529 latest new | , v20120529 latest on 2017-07-05 | , v20120529 latest new | , v20120529 latest new | , v20120529 latest new | , v20120529 latest new | 
CCSM4_r4i1p10, v20120216 latest new | ,NP, v20120216 latest new | , v20120216 latest new | , v20120216 latest new | , v20120216 latest new | , v20120216 latest new | , v20120216 latest new | 
CCSM4_r4i1p11, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r4i1p12, v20131003 latest new | ,NP, v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | 
CCSM4_r4i1p14, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r4i1p15, v20130827 latest new | ,NP, v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | 
CCSM4_r4i1p16, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r4i1p17, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r6i1p10, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r6i1p11, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r6i1p12, v20131003 latest new | ,NP, v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | , v20131003 latest new | 
CCSM4_r6i1p13, v20160829 latest new | ,NP, v20121031 | v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r6i1p14, v20120705 latest new | ,NP, v20120705 latest on 2017-07-05 | , v20120705 latest on 2017-07-05 | , v20120705 latest new | , v20120705 latest new | , v20120705 latest on 2017-07-05 | , v20120705 latest new | 
CCSM4_r6i1p15, v20130827 latest new | ,NP, v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | , v20130827 latest new | 
CCSM4_r6i1p16, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CCSM4_r6i1p17, v20160829 latest new | ,NP, v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | , v20160829 latest new | 
CESM1-CAM5_r3i1p14,NP,NP, v20131031 | ,NP,NP,NP, v20131031 | ,NP
CNRM-CM5_r10i1p1, v20110902 latest new | , v20110902 latest new | , v20110902 latest on 2017-07-05 | , v20110902 latest new | , v20110902 latest new | , v20110902 latest new | , v20110902 latest new | , v20110902 latest new | 
