 model_ensemble/variable,hfss_Omon,hfds_Omon,hfls_Omon,hfsithermds_Omon
CCSM4_r1i1p10, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p11, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p12, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p13, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p14, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p15, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p16, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r1i1p17, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r2i1p11, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r3i1p13, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r4i1p10, v20120618 latest on 2017-07-05 | ,NP,NP,NP
CCSM4_r4i1p11, v20120620 latest on 2017-07-05 | ,NP,NP,NP
CCSM4_r4i1p12, v20131003 latest new | ,NP,NP,NP
CCSM4_r4i1p14, v20120608 latest on 2017-07-05 | ,NP,NP,NP
CCSM4_r4i1p15, v20130828 latest new | ,NP,NP,NP
CCSM4_r4i1p16, v20120608 latest on 2017-07-05 | ,NP,NP,NP
CCSM4_r4i1p17, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p10, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p11, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p12, v20131003 latest new | ,NP,NP,NP
CCSM4_r6i1p13, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p14, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p15, v20130828 latest new | ,NP,NP,NP
CCSM4_r6i1p16, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CCSM4_r6i1p17, v20121128 | v20140820 latest new | , v20140820 latest new | ,NP,NP
CESM1-CAM5-1-FV2_r3i1p10, v20120605 | ,NP,NP,NP
CESM1-CAM5-1-FV2_r4i1p10, v20120605 | ,NP,NP,NP
CNRM-CM5_r10i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r1i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r2i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r3i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r4i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r5i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r6i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r7i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r8i1p1,NP, v20130101 latest new | ,NP,NP
CNRM-CM5_r9i1p1,NP, v20130101 latest new | ,NP,NP
CSIRO-Mk3-6-0_r10i1p1,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r10i1p2,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r10i1p3,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r10i1p4,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r10i1p5,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r10i1p6,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p1,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p2,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p3,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p4,NP, v20110518 | ,NP,NP
CSIRO-Mk3-6-0_r1i1p5,NP, v20110518 | ,NP,NP
