 model_ensemble/variable,hfss_r2i2p1,ps_r3i2p1,ps_r1i2p1,ps_Amon,rlus_r2i2p1,hfss_r1i2p1,rlds_Amon,rlus_r1i2p1,ps_r2i2p1,rsus_r1i2p1,rlds_r2i2p1,rsus_Amon,tro3_Amon,rsus_r3i2p1,rsus_r2i2p1,rlus_Amon,rlds_r1i2p1,rsds_r2i2p1,rlus_r3i2p1,hfss_r3i2p1,hfss_Amon,hfls_r1i2p1,rlds_r3i2p1,rsds_r1i2p1,hfls_r2i2p1,rsds_Amon,rsds_r3i2p1,hfls_Amon,hfls_r3i2p1
ACCESS1-0_r1i1p1,NP,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP, v20120115 | v20120727 latest on 2017-07-05 | ,NP
ACCESS1-0_r2i1p1,NP,NP,NP, v20130726 latest on 2017-07-05 | ,NP,NP, v20130726 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130726 latest on 2017-07-05 | ,NP,NP,NP, v20130726 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130726 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130726 latest on 2017-07-05 | ,NP, v20130726 latest on 2017-07-05 | ,NP
ACCESS1-0_r3i1p1,NP,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP,NP,NP, v20140402 latest on 2017-07-05 | ,NP, v20140402 latest on 2017-07-05 | ,NP
ACCESS1-3_r1i1p1,NP,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP,NP,NP,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP, v20120413 | v20130325 latest on 2017-07-05 | ,NP
ACCESS1-3_r2i1p1,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP, v20121112 latest on 2017-07-05 | ,NP
ACCESS1-3_r3i1p1,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP,NP,NP,NP, v20121112 latest on 2017-07-05 | ,NP, v20121112 latest on 2017-07-05 | ,NP
BNU-ESM_r1i1p1,NP,NP,NP, v20120510 | ,NP,NP, v20120510 | ,NP,NP,NP,NP, v20120510 | , v20120510 | ,NP,NP, v20120510 | ,NP,NP,NP,NP, v20120510 | ,NP,NP,NP,NP, v20120510 | ,NP, v20120510 | ,NP
CCSM4_r1i1p1,NP,NP,NP, version not defined to update  | v20120202 | v20160829 latest new | ,NP,NP, version not defined to update  | v20120202 | v20121031 | v20130425 | v20160829 latest new | ,NP,NP,NP,NP, v20120202 | v20130425 | v20160829 latest new | , v20160829 latest new | ,NP,NP, v20120202 | v20130425 | v20160829 latest new | ,NP,NP,NP,NP, v20120202 | v20130425 | v20160829 latest new | ,NP,NP,NP,NP, version not defined to update  | v20120202 | v20121031 | v20130425 | v20130425 | v20160829 latest new | ,NP, v20120202 | v20130425 | v20160829 latest new | ,NP
CCSM4_r1i2p1,NP,NP,NP, v20130715 latest new | ,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP, v20130715 latest on 2017-07-05 | ,NP
CCSM4_r1i2p2,NP,NP,NP, v20130715 latest new | ,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP,NP,NP,NP, v20130715 latest on 2017-07-05 | ,NP, v20130715 latest on 2017-07-05 | ,NP
