 model_ensemble/variable,hfsithermds_Omon,hfds_r2i2p1,hfss_Omon,hfds_r1i2p1,hfds_r3i2p1,hfds_Omon,hfls_Omon
ACCESS1-0_r1i1p1,NP,NP, v20120115 | v20121203 | v20140305 latest on 2017-07-05 | ,NP,NP, v20120115 | v20120607 | v20120718 | v20121203 | v20140305 latest on 2017-07-05 | , v20120115 | v20121203 | v20140305 latest on 2017-07-05 | 
ACCESS1-0_r2i1p1,NP,NP, v20130726 | v20130726 | ,NP,NP,NP, v20130726 | v20130726 | 
ACCESS1-0_r3i1p1,NP,NP, v20140402 latest on 2017-07-05 | ,NP,NP, v20140402 latest on 2017-07-05 | , v20140402 latest on 2017-07-05 | 
ACCESS1-3_r1i1p1,NP,NP, v20120413 | v20121203 | v20140305 latest on 2017-07-05 | ,NP,NP, v20120413 | v20120718 | v20121203 | v20140305 latest on 2017-07-05 | , v20120413 | v20121203 | v20140305 latest on 2017-07-05 | 
ACCESS1-3_r2i1p1,NP,NP, v20121112 | v20121112 | ,NP,NP, v20121112 | , v20121112 | v20121112 | 
ACCESS1-3_r3i1p1,NP,NP, v20121112 | v20121112 | ,NP,NP, v20121112 | , v20121112 | v20121112 | 
BNU-ESM_r1i1p1,NP,NP,NP,NP,NP, v20120504 | ,NP
CCSM4_r1i1p1,NP,NP, v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r1i2p1,NP,NP, v20130724 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r1i2p2,NP,NP, v20130724 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r2i1p1,NP,NP, v20120409 | v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r3i1p1,NP,NP, v20120409 | v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r4i1p1,NP,NP, v20120409 | v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r5i1p1,NP,NP, v20120409 | v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CCSM4_r6i1p1,NP,NP, v20121128 | v20140820 latest new | ,NP,NP, v20140820 latest on 2017-07-05 | ,NP
CESM1-BGC_r1i1p1,NP,NP, v20121129 | ,NP,NP, v20140822 | ,NP
CESM1-CAM5_r1i1p1,NP,NP, v20130302 | ,NP,NP, v20140822 | ,NP
CESM1-CAM5_r2i1p1,NP,NP, v20130302 | ,NP,NP, v20140822 | ,NP
CESM1-CAM5_r3i1p1,NP,NP, v20130302 | ,NP,NP, v20140822 | ,NP
CESM1-CAM5-1-FV2_r1i1p1,NP,NP, version not defined | ,NP,NP,NP,NP
CESM1-CAM5-1-FV2_r2i1p1,NP,NP, version not defined | ,NP,NP,NP,NP
CESM1-CAM5-1-FV2_r3i1p1,NP,NP, version not defined | ,NP,NP,NP,NP
CESM1-CAM5-1-FV2_r4i1p1,NP,NP, version not defined | ,NP,NP,NP,NP
CESM1-FASTCHEM_r1i1p1,NP,NP, v20121204 | ,NP,NP, v20140825 | ,NP
CESM1-FASTCHEM_r2i1p1,NP,NP, v20121204 | ,NP,NP, v20140825 | ,NP
CESM1-FASTCHEM_r3i1p1,NP,NP, v20121204 | ,NP,NP, v20140825 | ,NP
CESM1-WACCM_r1i1p1,NP,NP, v20120724 | v20140825 | ,NP,NP, v20140825 | ,NP
CESM1-WACCM_r2i1p1,NP,NP, v20120724 | v20140825 | ,NP,NP, v20140825 | ,NP
CESM1-WACCM_r3i1p1,NP,NP, v20120724 | v20140825 | ,NP,NP, v20140825 | ,NP
CESM1-WACCM_r4i1p1,NP,NP, v20120905 | ,NP,NP,NP,NP
CESM1-WACCM_r5i1p1,NP,NP, v20140502 | ,NP,NP,NP,NP
CESM1-WACCM_r6i1p1,NP,NP, v20140502 | ,NP,NP,NP,NP
CESM1-WACCM_r7i1p1,NP,NP, v20140502 | ,NP,NP,NP,NP
CMCC-CESM_r1i1p1,NP,NP,NP,NP,NP, v20120906 latest on 2017-07-05 | ,NP
CMCC-CM_r1i1p1,NP,NP,NP,NP,NP, v20120514 latest on 2017-07-05 | ,NP
CMCC-CMS_r1i1p1,NP,NP,NP,NP,NP, v20120717 latest on 2017-07-05 | ,NP
CNRM-CM5_r10i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r1i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r2i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r3i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r4i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r5i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r6i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r7i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r8i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5_r9i1p1,NP,NP,NP,NP,NP, v20130101 latest on 2017-07-05 | ,NP
CNRM-CM5-2_r1i1p1,NP,NP,NP,NP,NP, v20130401 latest on 2017-07-05 | ,NP
CSIRO-Mk3-6-0_r10i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r1i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r2i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r3i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r4i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r5i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r6i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r7i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r8i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3-6-0_r9i1p1,NP,NP,NP,NP,NP, v20110518 | ,NP
CSIRO-Mk3L-1-2_r1i2p1,NP,NP,NP,NP,NP, version not defined | ,NP
CSIRO-Mk3L-1-2_r2i2p1,NP,NP,NP,NP,NP, version not defined | ,NP
CSIRO-Mk3L-1-2_r3i2p1,NP,NP,NP,NP,NP, version not defined | ,NP
CSIRO-Mk3L-1-2_v20170315|esgf,NP, nci latest new | ,NP, nci latest new | , nci latest new | ,NP,NP
CanCM4_r10i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r1i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r2i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r3i1p1, v20120207 | v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r4i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r5i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r6i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r7i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r8i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanCM4_r9i1p1, v20120612 | v20130331 latest new | ,NP,NP,NP,NP,NP,NP
CanESM2_r1i1p1, v20120410 | v20130331 latest new | ,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | ,NP,NP,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | 
CanESM2_r2i1p1, v20130331 latest on 2017-07-05 | ,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | ,NP,NP,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | 
CanESM2_r3i1p1, v20120410 | v20130331 latest new | ,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | ,NP,NP,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | 
CanESM2_r4i1p1, v20120410 | v20130331 latest new | ,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | ,NP,NP,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | 
CanESM2_r5i1p1, v20120410 | v20130331 latest new | ,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | ,NP,NP,NP, v20130331 latest on 2017-07-05 | v20130331 latest on 2017-07-05 | 
EC-EARTH_r2i1p1,NP,NP,NP,NP,NP, version not defined | ,NP
EC-EARTH_r6i1p1,NP,NP,NP,NP,NP, version not defined | ,NP
FGOALS-g2_r1i1p1,NP,NP,NP,NP,NP, v1 | ,NP
FGOALS-g2_r2i1p1,NP,NP,NP,NP,NP, v1 | ,NP
FGOALS-g2_r3i1p1,NP,NP,NP,NP,NP, v1 latest on 2017-07-05 | ,NP
