 model_ensemble/variable,hfsithermds_Omon,hfss_Omon,hfy_Omon,rsntds_Omon,hfx_Omon,hfbasin_Omon,hfls_Omon,rlds_Omon
ACCESS1-0_r1i1p1,NP, v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | , v20121203 | v20140305 latest on 2017-05-18 | v2 latest new | v2 latest new | 
ACCESS1-3_r1i1p1,NP, v20121203 | v20140305 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 | v2 latest new | v2 latest new | , v20121203 | v20140305 | v2 latest new | v2 latest new | , v20120718 | v20121203 | v20140305 | v2 latest new | v2 latest new | , v20121203 | v20140305 | v2 latest new | v2 latest new | , v20121203 | v20140305 | v2 latest new | v2 latest new | , v20121203 | v20140305 | v2 latest new | v2 latest new | 
CCSM4_r1i1p1,NP, v20130513 | v20121128 latest new | ,NP, v20130513 | v20121128 latest new | ,NP,NP,NP, v20130513 | v20121128 latest new | 
CCSM4_r2i1p1,NP, v20121128 latest on 2017-05-18 | ,NP, v20121128 latest on 2017-05-18 | ,NP,NP,NP, v20121128 latest on 2017-05-18 | 
CESM1-BGC_r1i1p1,NP, v20121129 latest on 2017-05-18 | ,NP, v20121129 latest on 2017-05-18 | ,NP,NP,NP, v20121129 latest on 2017-05-18 | 
CESM1-CAM5_r1i1p1,NP, v20121129 latest on 2017-05-18 | ,NP, v20121129 latest on 2017-05-18 | ,NP,NP,NP, v20121129 latest on 2017-05-18 | 
CESM1-CAM5-1-FV2_r1i1p1,NP, version not defined | ,NP,NP,NP,NP,NP,NP
CESM1-FASTCHEM_r1i1p1,NP, v20121204 latest on 2017-05-18 | ,NP, v20121204 latest on 2017-05-18 | ,NP,NP,NP, v20121204 latest on 2017-05-18 | 
CESM1-WACCM_r1i1p1,NP, v20120724 latest on 2017-05-18 | ,NP, v20120724 latest on 2017-05-18 | ,NP,NP,NP, v20120724 latest on 2017-05-18 | 
CMCC-CESM_r1i1p1,NP,NP, v20121029 | v20130417 latest new | , v20121029 | v20130417 latest new | , v20121029 | v20130417 latest new | ,NP,NP,NP
CMCC-CM_r1i1p1,NP,NP, v20121113 latest new | v20121113 latest new | , v20121113 latest on 2017-05-18 | , v20121113 latest on 2017-05-18 | ,NP,NP,NP
CMCC-CMS_r1i1p1,NP,NP, v20120717 latest new | v20120717 latest new | , v20120717 latest on 2017-05-18 | , v20120717 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5_r1i1p1,NP,NP, v20121001 latest new | v20121001 latest new | , v20121001 latest on 2017-05-18 | , v20121001 latest on 2017-05-18 | ,NP,NP,NP
CNRM-CM5-2_r1i1p1,NP,NP, v20130402 latest new | v20130402 latest new | v20130402 latest new | , v20130402 latest on 2017-05-18 | , v20130402 latest on 2017-05-18 to update  | ,NP,NP,NP
CNRM-CM5-2_r1i1p2,NP,NP, v20130401 latest new | v20130401 latest new | v20130401 latest new | , v20130401 latest on 2017-05-18 | , v20130401 latest on 2017-05-18 to update  | ,NP,NP,NP
